sample	plate	time	infection_status	larvae_only_control	technical_control	name	condition
4672STDY9495851	DN716587W	D1	control	FALSE	FALSE	24_Con_11	D1.control
4672STDY9495852	DN716587W	D1	control	FALSE	FALSE	24_Con_12	D1.control
4672STDY9495853	DN716587W	D1	control	FALSE	FALSE	24_Con_13	D1.control
4672STDY9495854	DN716587W	D1	control	FALSE	FALSE	24_Con_14	D1.control
4672STDY9495855	DN716587W	D1	control	FALSE	FALSE	24_Con_15	D1.control
4672STDY9495856	DN716587W	D1	control	FALSE	FALSE	24_Con_16	D1.control
4672STDY9495857	DN716587W	D1	control	FALSE	FALSE	24_Con_17	D1.control
4672STDY9495858	DN716587W	D1	control	FALSE	FALSE	24_Con_18	D1.control
4672STDY9495859	DN716587W	D1	control	FALSE	FALSE	24_Con_19	D1.control
4672STDY9495860	DN716587W	D1	control	FALSE	FALSE	24_Con_20	D1.control
4672STDY9495861	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_5	Larvae.only
4672STDY9495862	DN716587W	D1	NA	TRUE	FALSE	Larvae_only_6	Larvae.only
4672STDY9495863	DN716587W	D1	NA	FALSE	TRUE	Negative_1	Negative.control
4672STDY9495864	DN716587W	D1	NA	FALSE	TRUE	Negative_2	Negative.control
4672STDY9495865	DN716587W	D3	infected	FALSE	FALSE	72_Inf_1	D3.infected
4672STDY9495866	DN716587W	D3	infected	FALSE	FALSE	72_Inf_2	D3.infected
4672STDY9495867	DN716587W	D3	infected	FALSE	FALSE	72_Inf_3	D3.infected
4672STDY9495868	DN716587W	D3	infected	FALSE	FALSE	72_Inf_4	D3.infected
4672STDY9495869	DN716587W	D3	infected	FALSE	FALSE	72_Inf_5	D3.infected
4672STDY9495870	DN716587W	D3	infected	FALSE	FALSE	72_Inf_6	D3.infected
4672STDY9495871	DN716587W	D3	infected	FALSE	FALSE	72_Inf_7	D3.infected
4672STDY9495872	DN716587W	D3	infected	FALSE	FALSE	72_Inf_8	D3.infected
4672STDY9495873	DN716587W	D3	infected	FALSE	FALSE	72_Inf_9	D3.infected
4672STDY9495874	DN716587W	D3	infected	FALSE	FALSE	72_Inf_10	D3.infected
4672STDY9495875	DN716587W	D3	infected	FALSE	FALSE	72_Inf_11	D3.infected
4672STDY9495876	DN716587W	D3	infected	FALSE	FALSE	72_Inf_12	D3.infected
